date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:21:06	904/904	---M--	200	added ('OK')	image/gif	date:Sun,%2008%20Apr%202012%2018:35:05%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/bottes.gif	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/bottes.gif	(from http://members.societe-jersiaise.org/geraint/jerriais/habinm.html)
21:21:07	789/789	---M--	200	added ('OK')	image/gif	date:Sun,%2008%20Apr%202012%2018:35:41%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/castch.gif	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/castch.gif	(from http://members.societe-jersiaise.org/geraint/jerriais/habinm.html)
21:21:08	883/883	---M--	200	added ('OK')	image/gif	date:Sun,%2008%20Apr%202012%2018:35:14%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/bra.gif	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/bra.gif	(from http://members.societe-jersiaise.org/geraint/jerriais/habinm.html)
21:21:09	1070/1070	---M--	200	added ('OK')	image/gif	date:Sun,%2008%20Apr%202012%2018:36:11%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/chauss.gif	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/chauss.gif	(from http://members.societe-jersiaise.org/geraint/jerriais/habinm.html)
21:21:12	101220/101220	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Jan%202022%2019:55:12%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/ballealeunettes2017a.jpg	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/ballealeunettes2017a.jpg	(from http://members.societe-jersiaise.org/geraint/jerriais/halloween3.html)
21:21:12	84536/84536	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Jan%202022%2019:55:12%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/ballealeunettes2018.jpg	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/ballealeunettes2018.jpg	(from http://members.societe-jersiaise.org/geraint/jerriais/halloween3.html)
21:21:14	83452/83452	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Jan%202022%2019:55:12%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/ballealeunettes2017.jpg	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/ballealeunettes2017.jpg	(from http://members.societe-jersiaise.org/geraint/jerriais/halloween3.html)
21:21:14	16732/16732	---M--	200	added ('OK')	audio/x-wav	date:Sun,%2008%20Apr%202012%2018:48:28%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/niercat.wav	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/niercat.wav	(from http://members.societe-jersiaise.org/geraint/jerriais/halloween3.html)
21:21:16	66904/66904	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Jan%202022%2019:55:12%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/ballealeunettes2016.jpg	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/ballealeunettes2016.jpg	(from http://members.societe-jersiaise.org/geraint/jerriais/halloween3.html)
21:21:16	37283/37283	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Oct%202023%2011:22:53%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/ballealeunettes2021b.jpg	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/ballealeunettes2021b.jpg	(from http://members.societe-jersiaise.org/geraint/jerriais/halloween3.html)
21:21:17	49268/49268	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Oct%202023%2011:22:53%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/ballealeunettes2020.jpg	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/ballealeunettes2020.jpg	(from http://members.societe-jersiaise.org/geraint/jerriais/halloween3.html)
21:21:18	35927/35927	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Oct%202023%2011:22:53%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/ballealeunettes2021a.jpg	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/ballealeunettes2021a.jpg	(from http://members.societe-jersiaise.org/geraint/jerriais/halloween3.html)
21:21:19	49914/49914	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Oct%202023%2011:22:53%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/ballealeunettes2022.jpg	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/ballealeunettes2022.jpg	(from http://members.societe-jersiaise.org/geraint/jerriais/halloween3.html)
21:21:19	43277/43277	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Jan%202022%2019:56:09%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/jerriais397.jpg	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/jerriais397.jpg	(from http://members.societe-jersiaise.org/geraint/jerriais/houmme.html)
21:21:21	43060/43060	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Feb%202022%2017:50:43%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/jerriais450.jpg	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/jerriais450.jpg	(from http://members.societe-jersiaise.org/geraint/jerriais/houmme.html)
21:21:21	23868/23868	---M--	200	added ('OK')	audio/x-wav	date:Sun,%2008%20Apr%202012%2018:36:31%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/cminsealaver.wav	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/cminsealaver.wav	(from http://members.societe-jersiaise.org/geraint/jerriais/habid.html)
21:21:22	1476/1476	---M--	200	added ('OK')	image/gif	date:Sun,%2008%20Apr%202012%2018:49:29%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/piclye.gif	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/piclye.gif	(from http://members.societe-jersiaise.org/geraint/jerriais/cartevoc.html)
